# KickKey English dictionary
# Format: word	frequency
though	450000000
feel	450000000
talk	440000000
bird	440000000
soon	440000000
body	440000000
dog	430000000
family	430000000
direct	430000000
pose	420000000
leave	420000000
song	420000000
measure	410000000
door	410000000
product	400000000
black	400000000
short	400000000
numeral	390000000
class	390000000
wind	390000000
question	380000000
happen	380000000
complete	380000000
ship	370000000
area	370000000
half	360000000
rock	360000000
order	360000000
fire	360000000
south	360000000
problem	350000000
piece	350000000
told	350000000
knew	350000000
pass	340000000
since	340000000
top	340000000
whole	330000000
king	330000000
space	330000000
heard	320000000
best	320000000
hour	320000000
better	320000000
true	310000000
during	310000000
hundred	310000000
five	310000000
remember	300000000
step	300000000
early	300000000
hold	300000000
west	300000000
ground	290000000
interest	290000000
reach	290000000
fast	290000000
verb	280000000
sing	280000000
listen	280000000
six	280000000
table	270000000
travel	270000000
less	270000000
morning	270000000
ten	260000000
simple	260000000
several	260000000
vowel	250000000
toward	250000000
war	250000000
lay	250000000
against	240000000
pattern	240000000
slow	240000000
center	240000000
love	240000000
person	230000000
money	230000000
serve	230000000
appear	230000000
road	220000000
map	220000000
rain	220000000
rule	220000000
govern	210000000
pull	210000000
cold	210000000
notice	200000000
voice	200000000
unit	200000000
power	200000000
town	190000000
fine	190000000
drive	190000000
lead	190000000
cry	190000000
dark	180000000
machine	180000000
note	180000000
wait	180000000
plan	180000000
figure	170000000
star	170000000
box	170000000
noun	170000000
field	160000000
rest	160000000
correct	160000000
able	160000000
pound	150000000
done	150000000
beauty	150000000
drive	150000000
stood	150000000
contain	150000000
front	140000000
teach	140000000
final	140000000
gave	140000000
green	140000000
oh	140000000
quick	130000000
develop	130000000
ocean	130000000
warm	130000000
free	130000000
minute	130000000
strong	120000000
special	120000000
behind	120000000
clear	120000000
tail	120000000
produce	110000000
fact	110000000
street	110000000
inch	110000000
multiply	110000000
nothing	100000000
course	100000000
stay	100000000
wheel	100000000
full	100000000
force	100000000
blue	100000000
object	100000000
decide	100000000
surface	100000000
deep	100000000
moon	100000000
island	100000000
foot	100000000
system	95000000
busy	95000000
test	95000000
record	95000000
boat	95000000
common	90000000
gold	90000000
possible	90000000
plane	90000000
stead	90000000
dry	90000000
wonder	90000000
laugh	90000000
thousand	90000000
ago	90000000
ran	85000000
check	85000000
game	85000000
shape	85000000
equate	80000000
miss	80000000
brought	80000000
heat	80000000
snow	80000000
tire	80000000
bring	80000000
yes	80000000
distant	75000000
fill	75000000
east	75000000
paint	75000000
language	75000000
among	75000000
grand	75000000
ball	70000000
yet	70000000
wave	70000000
drop	70000000
heart	70000000
am	70000000
present	70000000
heavy	70000000
dance	70000000
engine	70000000
position	70000000
arm	70000000
wide	65000000
sail	65000000
material	65000000
size	65000000
vary	65000000
settle	65000000
speak	65000000
weight	65000000
general	60000000
ice	60000000
matter	60000000
circle	60000000
include	60000000
built	60000000
can't	60000000
garden	60000000
sharp	55000000
struck	55000000
copy	55000000
past	55000000
hard	55000000
start	55000000
might	55000000
story	55000000
saw	55000000
far	50000000
sea	50000000
draw	50000000
left	50000000
late	50000000
run	50000000
don't	50000000
while	50000000
press	50000000
close	50000000
night	50000000
real	50000000
life	50000000
few	50000000
north	50000000
open	50000000
seem	50000000
together	50000000
next	50000000
white	50000000
children	50000000
begin	50000000
got	50000000
walk	50000000
ease	50000000
paper	50000000
always	50000000
those	50000000
both	50000000
show	45000000
every	45000000
small	45000000
found	45000000
still	45000000
learn	45000000
plant	45000000
cover	45000000
food	45000000
sun	45000000
four	45000000
between	45000000
state	45000000
keep	45000000
eye	45000000
never	45000000
last	40000000
let	40000000
thought	40000000
city	40000000
tree	40000000
cross	40000000
farm	40000000
hard	40000000
start	40000000
might	40000000
story	40000000
saw	40000000
far	40000000
kite	38000000
king	38000000
kitchen	37000000
kick	36000000
kind	35000000
keep	35000000
knowledge	34000000
knife	33000000
knock	32000000
knee	31000000
kitten	30000000
kettle	29000000
key	28000000
keen	27000000
kill	26000000
skill	25000000
sky	24000000
skip	23000000
skin	22000000
skill	22000000
skull	21000000
sleep	40000000
smile	38000000
speak	36000000
speed	35000000
spell	34000000
spend	33000000
spirit	32000000
split	31000000
sport	30000000
spread	29000000
spring	28000000
stand	27000000
steam	26000000
steel	25000000
stick	24000000
stone	23000000
stop	22000000
store	21000000
storm	20000000
story	20000000
straight	19000000
strange	18000000
stream	17000000
street	17000000
stretch	16000000
strike	15000000
string	15000000
strong	14000000
stuck	14000000
study	13000000
sugar	13000000
suit	12000000
summer	12000000
super	11000000
supply	11000000
sweet	10000000
swim	10000000
swing	9500000
table	9000000
tail	8800000
talk	8600000
tall	8400000
taste	8200000
teach	8000000
teeth	7800000
thank	7600000
thick	7400000
thin	7200000
think	7000000
thousand	6800000
throw	6600000
thumb	6400000
tight	6200000
till	6000000
tired	5800000
title	5600000
today	5400000
together	5200000
told	5000000
tomorrow	4800000
tonight	4600000
touch	4400000
toward	4200000
town	4000000
trade	3800000
trail	3600000
train	3400000
travel	3200000
treat	3000000
tree	2800000
trick	2600000
tried	2400000
trouble	2200000
truck	2000000
trust	1900000
truth	1800000
turn	1700000
twice	1600000
type	1500000
uncle	1400000
under	1300000
understand	1200000
until	1100000
upon	1000000
upset	950000
usual	900000
valley	850000
value	800000
various	750000
very	700000
village	650000
visit	600000
voice	550000
vote	500000
wait	480000
want	460000
watch	440000
water	420000
week	400000
welcome	380000
while	360000
window	340000
winter	320000
wish	300000
woman	280000
wonder	260000
word	240000
world	220000
worry	200000
write	180000
wrong	160000
yard	140000
yellow	120000
yesterday	100000
young	90000
